Allele,CSF1PO,D10S1248,D12S391,D13S317,D16S539,D18S51,D19S433,D1S1656,D21S11,D22S1045,D2S1338,D2S441,D3S1358,D5S818,D7S820,D8S1179,FGA,SE33,TH01,TPOX,vWA
30.3,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,0.072022161,,,,,,,,,0.002770083,,,
31.2,,,,,,,,,0.09833795,,,,,,,,,0.023545706,,,
32,,,,,,,,,0.005540166,,,,,,,,,0.001385042,,,
32.2,,,,,,,,,0.090027701,,,,,,,,,0.012465374,,,
33,,,,,,,,,0.001385042,,,,,,,,,0.001385042,,,
33.1,,,,,,,,,,,,,,,,,,,,,
33.2,,,,,,,,,0.026315789,,,,,,,,,0.004155125,,,
34,,,,,,,,,,,,,,,,,,0.008310249,,,
34.2,,,,,,,,,0.004155125,,,,,,,,,0.001385042,,,
35,,,,,,,,,0.001385042,,,,,,,,,,,,
36,,,,,,,,,0.001385042,,,,,,,,,,,,
